srl,field_name,name,block,item,length,byte_start,byte_end,remarks
1,file_id,File Identification,,,4,1,4,FVP3
2,sch,Schdule,1,2,3,5,7,104
3,qtr,Quarter,,,2,8,9,Q1 to Q4
4,visit,Visit,,,2,10,11,V1 for first visit
5,sec,Sector,1,3,1,12,12,
6,st,State/Ut Code,,,2,13,14,
7,dc,District Code,1,4,2,15,16,
8,nss_reg,NSS-Region,1,4,3,17,19,
9,strm,Stratum,1,5,2,20,21,
10,sstrm,Sub-Stratum,1,6,2,22,23,
11,ss,Sub-Sample,1,11,1,24,24,
12,sro,Fod Sub-Region,1,12,4,25,28,
13,mfsu,FSU,1,1,5,29,33,
14,seg,Sample Sg/Sb No.,1,13,1,34,34,
15,sss,Second Stage Stratum No.,1,14,1,35,35,
16,ssu,Sample Household Number,1,15,2,36,37,
17,srl_no,Person Serial No.,4,1,2,38,39,
18,rel,Relationship To Head,4,4,1,40,40,
19,sex,Sex,4,5,1,41,41,
20,age,Age,4,6,3,42,44,
21,marst,Marital Status,4,7,1,45,45,
22,gedu_lvl,General Educaion Level,4,8,2,46,47,
23,tedu_lvl,Technical Educaion Level,4,9,2,48,49,
24,no_of_years_in_formal_education,No. of years in Formal Education,4,10,2,50,51,
25,curr_att,Status of Current Attendance in Educational Institution,4,11,2,52,53,
26,voc,Whether received any Vocational/Technical Training,4,12,1,54,54,
27,whether_training_completed_during_last_3,Whether Training completed during last 365 Days,4.1,3,1,55,55,
28,vt_field,Field Of Training,4.1,4,2,56,57,
29,vt_dur,Duration Of Training,4.1,5,1,58,58,
30,vt_type,Type Of Training,4.1,6,1,59,59,
31,source_of_funding_the_training,Source Of Funding The Training,4.1,7,1,60,60,
32,pas,Status Code,5.1,3,2,61,62,
33,ind_pas,Industry Code (NIC),5.1,5,5,63,67,
34,ocu_pas,Occupation Code (NCO),5.1,6,3,68,70,
35,has_sas,Whether Engaged In Any Work In Subsidiary Capacity,5.1,7,1,71,71,
36,loc_pas,(Principal)location Of Workplace Code,5.1,8,2,72,73,
37,etyp_pas,(Principal) Enterprise Type Code,5.1,9,2,74,75,
38,wrkr_pas,(Principal) No. Of Workers In The Enterprise,5.1,10,1,76,76,
39,job_pas,(Principal)  Type Of Job Contract,5.1,11,1,77,77,
40,leave_pas,(Principal) Eligble Of Paid Leave,5.1,12,1,78,78,
41,ssec_pas,(Principal) Social Security Benefits,5.1,13,1,79,79,
42,sas,Status Code,5.2,3,2,80,81,
43,ind_sas,Industry Code (NIC),5.2,5,5,82,86,
44,ocu_sas,Occupation Code (NCO),5.2,6,3,87,89,
45,loc_sas,(Subsidiary) location Of Workplace Code,5.2,7,2,90,91,
46,etyp_sas,(Subsidiary)  Enterprise Type Code,5.2,8,2,92,93,
47,wrkr_sas,(Subsidiary)  No. Of Workers In The Enterprise,5.2,9,1,94,94,
48,job_sas,(Subsidiary)   Type Of Job Contract,5.2,10,1,95,95,
49,leave_sas,(Subsidiary)  Eligble Of Paid Leave,5.2,11,1,96,96,
50,ssec_sas,(Subsidiary)  Social Security Benefits,5.2,12,1,97,97,
51,sts11,Status Code for activity 1,6,4/3.1,2,98,99,
52,ind11,Industry Code (NIC) for activity 1,6,5/3.1,2,100,101,
53,hrs11,hours actuallly worked for activity 1 on 7 th day,6,6/3.1,2,102,103,
54,ern11,wage earning for activity 1 on 7 th day,6,9/3.1,5,104,108,
55,sts21,Status Code for activity 2,6,4/3.1,2,109,110,
56,ind21,Industry Code (NIC) for activity 2,6,5/3.1,2,111,112,
57,hrs21,hours actuallly worked for activity 2 on 7 th day,6,6/3.1,2,113,114,
58,ern21,wage earning for activity 2 on 7 th day,6,9/3.1,5,115,119,
59,tot_hrs1,total hours actually worked on 7th day,6,7/3.1,2,120,121,
60,hav1,hours available for aditional worked on 7th day,6,8/3.1,2,122,123,
61,sts12,Status Code for activity 1,6,4/3.2,2,124,125,
62,ind12,Industry Code (NIC) for activity 1,6,5/3.2,2,126,127,
63,hrs12,hours actuallly worked for activity 1 on 6 th day,6,6/3.2,2,128,129,
64,ern12,wage earning for activity 1 on 7 th day,6,9/3.2,5,130,134,
65,sts22,Status Code for activity 2,6,4/3.2,2,135,136,
66,ind22,Industry Code (NIC) for activity 2,6,5/3.2,2,137,138,
67,hrs22,hours actuallly worked for activity 2 on 6 th day,6,6/3.2,2,139,140,
68,ern22,wage earning for activity 2 on 6 th day,6,9/3.2,5,141,145,
69,tot_hrs2,total hours actually worked on 6th day,6,7/3.2,2,146,147,
70,hav2,hours available for aditional worked on 6th day,6,8/3.2,2,148,149,
71,sts13,Status Code for activity 1,6,4/3.3,2,150,151,
72,ind13,Industry Code (NIC) for activity 1,6,5/3.3,2,152,153,
73,hrs13,hours actuallly worked for activity 1 on5 th day,6,6/3.3,2,154,155,
74,ern13,wage earning for activity 1 on 5 th day,6,9/3.3,5,156,160,
75,sts23,Status Code for activity 2,6,4/3.3,2,161,162,
76,ind23,Industry Code (NIC) for activity 2,6,5/3.3,2,163,164,
77,hrs23,hours actuallly worked for activity 2 on 5 th day,6,6/3.3,2,165,166,
78,ern23,wage earning for activity 2 on 5 th day,6,9/3.3,5,167,171,
79,tot_hrs3,total hours actually worked on 5th day,6,7/3.3,2,172,173,
80,hav3,hours available for aditional worked on 5th day,6,8/3.3,2,174,175,
81,sts14,Status Code for activity 1,6,4/3.4,2,176,177,
82,ind14,Industry Code (NIC) for activity 1,6,5/3.4,2,178,179,
83,hrs14,hours actuallly worked for activity 1 on 4th day,6,6/3.4,2,180,181,
84,ern14,wage earning for activity 1 on 4th day,6,9/3.4,5,182,186,
85,sts24,Status Code for activity 2,6,4/3.4,2,187,188,
86,ind24,Industry Code (NIC) for activity 2,6,5/3.4,2,189,190,
87,hrs24,hours actuallly worked for activity 2 on 4th day,6,6/3.4,2,191,192,
88,ern24,wage earning for activity 2 on 4th day,6,9/3.4,5,193,197,
89,tot_hrs4,total hours actually worked on 4th day,6,7/3.4,2,198,199,
90,hav4,hours available for aditional worked on 4th day,6,8/3.4,2,200,201,
91,sts15,Status Code for activity 1,6,4/3.5,2,202,203,
92,ind15,Industry Code (NIC) for activity 1,6,5/3.5,2,204,205,
93,hrs15,hours actuallly worked for activity 1 on 3rd day,6,6/3.5,2,206,207,
94,ern15,wage earning for activity 1 on 3rd day,6,9/3.5,5,208,212,
95,sts25,Status Code for activity 2,6,4/3.5,2,213,214,
96,ind25,Industry Code (NIC) for activity 2,6,5/3.5,2,215,216,
97,hrs25,hours actuallly worked for activity 2 on 3rd day,6,6/3.5,2,217,218,
98,ern25,wage earning for activity 2 on 3 rd day,6,9/3.5,5,219,223,
99,tot_hrs5,total hours actually worked on 3rd day,6,7/3.5,2,224,225,
100,hav5,hours available for aditional worked on 3rd day,6,8/3.5,2,226,227,
101,sts16,Status Code for activity 1,6,4/3.6,2,228,229,
102,ind16,Industry Code (NIC) for activity 1,6,5/3.6,2,230,231,
103,hrs16,hours actuallly worked for activity 1 on 2nd day,6,6/3.6,2,232,233,
104,ern16,wage earning for activity 1 on 2nd day,6,9/3.6,5,234,238,
105,sts26,Status Code for activity 2,6,4/3.6,2,239,240,
106,ind26,Industry Code (NIC) for activity 2,6,5/3.6,2,241,242,
107,hrs26,hours actuallly worked for activity 2 on 2nd day,6,6/3.6,2,243,244,
108,ern26,wage earning for activity 2 on 2nd day,6,9/3.6,5,245,249,
109,tot_hrs6,total hours actually worked on 2nd day,6,7/3.6,2,250,251,
110,hav6,hours available for aditional worked on 2nd day,6,8/3.6,2,252,253,
111,sts17,Status Code for activity 1,6,4/3.7,2,254,255,
112,ind17,Industry Code (NIC) for activity 1,6,5/3.7,2,256,257,
113,hrs17,hours actuallly worked for activity 1 on 1st day,6,6/3.7,2,258,259,
114,ern17,wage earning for activity 1 on 1st day,6,9/3.7,5,260,264,
115,sts27,Status Code for activity 2,6,4/3.7,2,265,266,
116,ind27,Industry Code (NIC) for activity 2,6,5/3.7,2,267,268,
117,hrs27,hours actuallly worked for activity 2 on 1st day,6,6/3.7,2,269,270,
118,ern27,wage earning for activity 2 on 1st day,6,9/3.7,5,271,275,
119,tot_hrs7,total hours actually worked on 1st day,6,7/3.7,2,276,277,
120,hav7,hours available for aditional worked on 1st day,6,8/3.7,2,278,279,
121,aps_cws,Current Weekly Status (CWS),6,5,2,280,281,
122,aind_cws,Industry Code (CWS),6,6,2,282,283,
123,ocu_cws,Occupation Code (CWS),6,7,3,284,286,
124,ern_reg,Earnings For Regular Salarid/Wage Activity,6,9,8,287,294,
125,ern_self,Earnings For Regular Salarid/Wage Activity,6,10,8,295,302,
126,nss,Ns count for sector x stratum x substratum x sub-sample,Generated,,3,303,305,NSS
127,nsc,Ns count for sector x stratum x substratum,Generated,,3,306,308,NSC
128,mult,Sub-sample wise Multiplier,Generated,,10,309,318,MULT
129,no_qtr,Occurance of State x Sector x Stratum x SubStratum in 4 Quarters,Generated,,1,319,319,No_Qtr
