srl,field_name,name,block,item,length,byte_start,byte_end,remarks
132,aind_cws,Industry Code (CWS),6,6,2,292,293,
133,ocu_cws,Occupation Code (CWS),6,7,3,294,296,
134,ern_reg,Earnings For Regular Salaried/Wage Activity,6,9,8,297,304,
135,ern_self,Earnings For Regular Salaried/Wage Activity,6,10,8,305,312,
136,whether_present_place_of_enumeration_dif,Whether Present place of enumeration differs from last usual place of residence,7.1,3,1,313,313,
137,whether_moved_to_present_place_of_enumer,Whether moved to Present place of enumeration after March 2020,7.1,4,1,314,314,
138,whether_present_place_of_enumeration_was,Whether Present place of enumeration was usual place of residence in Past,7.1,5,1,315,315,
139,location_of_last_usual_place_of_residenc,Location of last usual place of residence,7.1,6,1,316,316,
140,state_code_of_last_usual_place_of_reside,State code of last usual place of residence,7.1,8,2,317,318,
141,reason_for_leaving_the_last_usual_place_,Reason for leaving the last usual place of residence,7.1,9,2,319,320,
142,intention_to_move_out_from_present_place,Intention to move out from present place of residence,7.1,10,1,321,321,
143,usual_principal_activity_status_of_last_,Usual Principal Activity Status of last usual place of residence,7.1,11,2,322,323,
144,industry_division_nic_2_digit,Industry Division (NIC 2 digit),7.1,12,2,324,325,
145,occupation_group_nco_2004_3_digit,Occupation Group (NCO-2004 3 digit),7.1,13,3,326,328,
146,highest_level_of_education,Highest level of Education,7.2,5,2,329,330,
147,whether_present_place_of_residence_diffe,Whether Present place of residence differs from Usual place of residence,7.2,6,1,331,331,
148,whether_present_place_of_residence_was_u,Whether Present place of residence was usual place of residence in Past,7.2,7,1,332,332,
149,location_of_last_usual_place_of_residenc,Location of last usual place of residence,7.2,8,1,333,333,
150,state_code_of_last_usual_place_of_reside,State code of last usual place of residence,7.2,10,2,334,335,
151,reason_for_leaving_the_last_usual_place_,Reason for leaving the last usual place of residence,7.2,11,2,336,337,
152,returned_or_intention_to_return_to_last_,Returned or intention to return to last usual  place of residence,7.2,12,1,338,338,
153,usual_principal_activity_status_of_last_,Usual Principal Activity Status of last usual place of residence,7.2,13,2,339,340,
154,industry_division_nic_2_digit,Industry Division (NIC 2 digit),7.2,14,2,341,342,
155,occupation_group_nco_2004_3_digit,Occupation Group (NCO-2004 3 digit),7.2,15,3,343,345,
156,nss,Ns count for sector x stratum x substratum x sub-sample,Generated,,3,346,348,NSS
157,nsc,Ns count for sector x stratum x substratum,Generated,,3,349,351,NSC
158,mult,Sub-sample wise Multiplier,Generated,,10,352,361,MULT
159,no_qtr,Occurance of FSUs in State x Sector x Stratum x SubStratum in 4 Quarters,Generated,,1,362,362,No_Qtr
